IDFEMP | DATEMS | NOTFIC | STAPRE
---------------------------------
0019 | 20250601 | U14119293 | 101
0093 | 20250601 | U01066531 | 101
0034 | 20250601 | U11040275 | 101
0089 | 20250601 | U05116294 | 101
0034 | 20250601 | U11040281 | 101
0114 | 20250601 | U02021836 | 101
0026 | 20250602 | U08061303 | 101
0067 | 20250602 | U01020077 | 101
0115 | 20250602 | U01005280 | 101
0029 | 20250602 | U01084878 | 101
0001 | 20250602 | U01210615 | 101
0004 | 20250602 | U11054356 | 101
0018 | 20250602 | U07109351 | 101
0001 | 20250602 | U01210661 | 101
0034 | 20250602 | U10046499 | 101
0002 | 20250602 | U01674858 | 101
0037 | 20250602 | U09082380 | 101
0029 | 20250602 | U14016585 | 101
0101 | 20250602 | U02042918 | 101
0089 | 20250602 | U03126490 | 101
0071 | 20250602 | U05036902 | 101
0089 | 20250602 | U05116337 | 101
0032 | 20250602 | U07126435 | 101
0019 | 20250603 | U14119352 | 101
0001 | 20250603 | U01210799 | 101
0019 | 20250603 | U14119356 | 101
0093 | 20250603 | U02088946 | 101
0033 | 20250603 | U01017439 | 101
0001 | 20250603 | U01210859 | 101
0019 | 20250603 | U14119361 | 101
0019 | 20250603 | U13127822 | 101
0017 | 20250603 | U10105256 | 101
0001 | 20250603 | U01210961 | 101
0001 | 20250603 | U01211035 | 101
0004 | 20250603 | U11054422 | 101
0015 | 20250603 | U11049339 | 101
0089 | 20250603 | U05116373 | 101
0022 | 20250603 | U01041572 | 101
0022 | 20250603 | U01041578 | 101
0042 | 20250603 | U01021725 | 101
0022 | 20250603 | U01041584 | 101
0053 | 20250603 | U01009302 | 101
0032 | 20250603 | U08121708 | 101
0022 | 20250604 | U02052155 | 101
0001 | 20250604 | U01211170 | 101
0001 | 20250604 | U01211208 | 101
0001 | 20250604 | U01211209 | 101
0002 | 20250604 | U01674987 | 101
0008 | 20250604 | U01412735 | 101
0019 | 20250604 | U13127842 | 101
0025 | 20250604 | U08032399 | 101
0093 | 20250604 | U02088977 | 101
0037 | 20250604 | U07087207 | 101
0017 | 20250604 | U11028791 | 101
0036 | 20250604 | U06015337 | 101
0117 | 20250604 | U03011821 | 101
0101 | 20250604 | U03044198 | 101
0001 | 20250604 | U01211441 | 101
0017 | 20250604 | U11028794 | 101
0089 | 20250604 | U03126542 | 101
0089 | 20250604 | U03126546 | 101
0022 | 20250604 | U01041595 | 101
0005 | 20250605 | U01701230 | 101
0008 | 20250605 | U01412757 | 101
0032 | 20250605 | U08121735 | 101
0001 | 20250605 | U01211630 | 101
0117 | 20250605 | U03011825 | 101
0005 | 20250605 | U01701279 | 101
0089 | 20250605 | U03126587 | 101
0101 | 20250605 | U02042979 | 101
0056 | 20250605 | U05026149 | 101
0022 | 20250605 | U01041646 | 101
0034 | 20250605 | U10046544 | 101
0036 | 20250605 | U06015352 | 101
0034 | 20250605 | U09043961 | 101
0004 | 20250605 | U11054467 | 101
0017 | 20250605 | U10105297 | 101
0037 | 20250605 | U07087236 | 101
0117 | 20250605 | U01012998 | 101
0025 | 20250605 | U08032415 | 101
0003 | 20250605 | U10134289 | 101
0092 | 20250606 | U01007258 | 101
0019 | 20250606 | U14119400 | 101
0026 | 20250606 | U08061360 | 101
0037 | 20250606 | U08092154 | 101
0096 | 20250606 | U02044284 | 101
0115 | 20250606 | U03020992 | 101
0037 | 20250606 | U07087254 | 101
0022 | 20250606 | U02052290 | 101
0071 | 20250606 | U05036934 | 101
0089 | 20250606 | U04089402 | 101
0036 | 20250606 | U06015359 | 101
0056 | 20250606 | U05026160 | 101
0098 | 20250606 | U02036383 | 101
0096 | 20250606 | U02044300 | 101
0026 | 20250606 | U07127526 | 101
0017 | 20250607 | U10105333 | 101
0093 | 20250607 | U02089053 | 101
0096 | 20250607 | U03023410 | 101
0115 | 20250607 | U03020999 | 101
0117 | 20250607 | U03011844 | 101
0022 | 20250607 | U02052339 | 101
0032 | 20250607 | U07126582 | 101
0015 | 20250607 | U09042752 | 101
0092 | 20250607 | U03034908 | 101
0056 | 20250607 | U06039680 | 101
0004 | 20250607 | U11054511 | 101
0004 | 20250607 | U11054514 | 101
0019 | 20250607 | U14119435 | 101
0037 | 20250607 | U08092168 | 101
0019 | 20250607 | U14119442 | 101
0093 | 20250607 | U01066679 | 101
0093 | 20250607 | U01066684 | 101
0017 | 20250607 | U11028822 | 101
0037 | 20250607 | U07087285 | 101
0018 | 20250607 | U11065991 | 101
0089 | 20250607 | U03126667 | 101
0089 | 20250607 | U05116493 | 101
0117 | 20250607 | U01013013 | 101
0092 | 20250607 | U03034923 | 101
0036 | 20250607 | U06015374 | 101
0037 | 20250607 | U07087293 | 101
0032 | 20250607 | U08121827 | 101
0071 | 20250607 | U05036950 | 101
0037 | 20250607 | U08092191 | 101
0093 | 20250607 | U01066717 | 101
0096 | 20250608 | U02044324 | 101
0019 | 20250608 | U14119464 | 101
0037 | 20250608 | U07087323 | 101
0042 | 20250608 | U01021785 | 101
0096 | 20250609 | U02044328 | 101
0096 | 20250609 | U02044329 | 101
0004 | 20250609 | U12069660 | 101
0001 | 20250609 | U01212361 | 101
0001 | 20250609 | U01212397 | 101
0115 | 20250609 | U03021008 | 101
0018 | 20250609 | U07109483 | 101
0003 | 20250609 | U10134464 | 101
0005 | 20250609 | U01701451 | 101
0005 | 20250609 | U01701461 | 101
0017 | 20250609 | U11028879 | 101
0018 | 20250609 | U11066013 | 101
0003 | 20250609 | U10134478 | 101
0017 | 20250609 | U10105349 | 101
0032 | 20250609 | U07126669 | 101
0115 | 20250609 | U02019508 | 101
0032 | 20250609 | U07126686 | 101
0001 | 20250610 | U01212676 | 101
0026 | 20250610 | U07127574 | 101
0004 | 20250610 | U11054553 | 101
0015 | 20250610 | U09042772 | 101
0003 | 20250610 | U10134510 | 101
0115 | 20250610 | U03021013 | 101
0029 | 20250610 | U08052189 | 101
0092 | 20250610 | U02033542 | 101
0032 | 20250610 | U08121884 | 101
0117 | 20250610 | U02006732 | 101
0004 | 20250610 | U01052642 | 101
0004 | 20250610 | U11054572 | 101
0001 | 20250610 | U01212977 | 101
0022 | 20250610 | U02052515 | 101
0040 | 20250610 | U01027896 | 101
0098 | 20250610 | U01042348 | 101
0019 | 20250610 | U13127974 | 101
0093 | 20250610 | U01066766 | 101
0022 | 20250611 | U02052522 | 101
0089 | 20250611 | U05116649 | 101
0114 | 20250611 | U02021921 | 101
0004 | 20250611 | U11054588 | 101
0029 | 20250611 | U01085035 | 101
0029 | 20250611 | U01085036 | 101
0029 | 20250611 | U01085037 | 101
0029 | 20250611 | U14016752 | 101
0015 | 20250611 | U09042791 | 101
0001 | 20250611 | U01213241 | 101
0115 | 20250611 | U03021023 | 101
0034 | 20250611 | U10046569 | 101
0117 | 20250611 | U01013035 | 101
0032 | 20250611 | U07126714 | 101
0029 | 20250611 | U14016763 | 101
0034 | 20250611 | U11040369 | 101
0071 | 20250611 | U07019627 | 101
0117 | 20250611 | U03011888 | 101
0117 | 20250611 | U01013043 | 101
0114 | 20250611 | U03020491 | 101
0037 | 20250611 | U07087365 | 101
0019 | 20250611 | U13127999 | 101
0093 | 20250611 | U01066799 | 101
0022 | 20250611 | U01041857 | 101
0029 | 20250612 | U01085054 | 101
0032 | 20250612 | U08121950 | 101
0089 | 20250612 | U03126772 | 101
0037 | 20250612 | U09082475 | 101
0026 | 20250612 | U07127596 | 101
0036 | 20250612 | U06015434 | 101
0022 | 20250612 | U02052559 | 101
0056 | 20250612 | U06039735 | 101
0004 | 20250612 | U12069714 | 101
0015 | 20250612 | U12023239 | 101
0018 | 20250612 | U11066061 | 101
0117 | 20250612 | U03011890 | 101
0089 | 20250612 | U03126785 | 101
0025 | 20250612 | U08032492 | 101
0089 | 20250612 | U03126790 | 101
0019 | 20250612 | U14119590 | 101
0022 | 20250612 | U01041905 | 101
0022 | 20250612 | U01041909 | 101
0092 | 20250612 | U02033572 | 101
0117 | 20250612 | U01013068 | 101
0017 | 20250612 | U10105413 | 101
0015 | 20250612 | U11049418 | 101
0026 | 20250612 | U07127604 | 101
0026 | 20250612 | U07127606 | 101
0071 | 20250612 | U05037010 | 101
0096 | 20250612 | U02044394 | 101
0002 | 20250612 | U01675507 | 101
0117 | 20250612 | U01013071 | 101
0115 | 20250612 | U02019533 | 101
0026 | 20250612 | U07127608 | 101
0034 | 20250612 | U09044021 | 101
0098 | 20250612 | U03019376 | 101
0089 | 20250612 | U05116756 | 101
0037 | 20250613 | U08092287 | 101
0032 | 20250613 | U08121967 | 101
0092 | 20250613 | U03034970 | 101
0029 | 20250613 | U01085085 | 101
0001 | 20250613 | U01214010 | 101
0017 | 20250613 | U11028932 | 101
0026 | 20250613 | U07127630 | 101
0096 | 20250613 | U02044416 | 101
0117 | 20250613 | U03011900 | 101
0117 | 20250613 | U03011903 | 101
0098 | 20250613 | U01042381 | 101
0098 | 20250613 | U01042383 | 101
0098 | 20250613 | U02036467 | 101
0032 | 20250613 | U07126831 | 101
0022 | 20250613 | U01041981 | 101
0026 | 20250613 | U07127641 | 101
0026 | 20250613 | U07127644 | 101
0026 | 20250614 | U08061452 | 101
0093 | 20250614 | U02089231 | 101
0022 | 20250614 | U02052617 | 101
0003 | 20250614 | U10134712 | 101
0022 | 20250614 | U02052622 | 101
0032 | 20250614 | U08121999 | 101
